city,year,month,retail_sales,frequency
New York,2014,10,56274.0,monthly
Los Angeles,2014,10,58596.0,monthly
Chicago,2014,10,59285.0,monthly
Houston,2014,10,43259.91,monthly
Phoenix,2014,10,62908.0,monthly
Philadelphia,2014,10,56765.0,monthly
San Antonio,2014,10,46478.0,monthly
San Diego,2014,10,60344.0,monthly
New York,2014,11,56700.0,monthly
Los Angeles,2014,11,55358.0,monthly
Chicago,2014,11,61409.0,monthly
Houston,2014,11,44948.0,monthly
Phoenix,2014,11,59683.0,monthly
Philadelphia,2014,11,55500.0,monthly
San Antonio,2014,11,44173.0,monthly
San Diego,2014,11,56450.0,monthly
New York,2014,12,57216.0,monthly
Los Angeles,2014,12,60234.0,monthly
Chicago,2014,12,60601.0,monthly
Houston,2014,12,47439.0,monthly
Phoenix,2014,12,64305.0,monthly
Philadelphia,2014,12,56547.0,monthly
San Antonio,2014,12,44887.0,monthly
San Diego,2014,12,57810.0,monthly
New York,2015,1,60829.0,monthly
Los Angeles,2015,1,57672.0,monthly
Chicago,2015,1,62100.0,monthly
Houston,2015,1,46863.0,monthly
Phoenix,2015,1,65616.0,monthly
Philadelphia,2015,1,54446.0,monthly
San Antonio,2015,1,47864.0,monthly
San Diego,2015,1,57928.0,monthly
New York,2015,2,57366.0,monthly
Los Angeles,2015,2,61863.0,monthly
Chicago,2015,2,62133.0,monthly
Houston,2015,2,46283.0,monthly
Phoenix,2015,2,66425.0,monthly
Philadelphia,2015,2,54933.0,monthly
San Antonio,2015,2,46565.0,monthly
San Diego,2015,2,62028.0,monthly
New York,2015,3,59226.0,monthly
Los Angeles,2015,3,58524.0,monthly
Chicago,2015,3,60044.0,monthly
Houston,2015,3,46959.0,monthly
Phoenix,2015,3,65000.0,monthly
Philadelphia,2015,3,54849.0,monthly
San Antonio,2015,3,44232.0,monthly
San Diego,2015,3,59118.0,monthly
New York,2015,4,59689.0,monthly
Los Angeles,2015,4,56292.0,monthly
Chicago,2015,4,59643.0,monthly
Houston,2015,4,46994.0,monthly
Phoenix,2015,4,64287.0,monthly
Philadelphia,2015,4,58004.0,monthly
San Antonio,2015,4,48017.0,monthly
San Diego,2015,4,62900.0,monthly
New York,2015,5,56460.0,monthly
Los Angeles,2015,5,58134.0,monthly
Chicago,2015,5,62784.0,monthly
Houston,2015,5,47720.0,monthly
Phoenix,2015,5,63046.0,monthly
Philadelphia,2015,5,58900.0,monthly
San Antonio,2015,5,46581.0,monthly
San Diego,2015,5,60657.0,monthly
New York,2015,6,59778.0,monthly
Los Angeles,2015,6,59842.0,monthly
Chicago,2015,6,62788.0,monthly
Houston,2015,6,44903.0,monthly
Phoenix,2015,6,66316.0,monthly
Philadelphia,2015,6,58360.0,monthly
San Antonio,2015,6,45235.0,monthly
San Diego,2015,6,62315.0,monthly
New York,2015,7,57194.0,monthly
Los Angeles,2015,7,60116.0,monthly
Chicago,2015,7,63135.0,monthly
Houston,2015,7,45474.0,monthly
Phoenix,2015,7,65893.0,monthly
Philadelphia,2015,7,54265.0,monthly
San Antonio,2015,7,44335.0,monthly
San Diego,2015,7,63393.0,monthly
New York,2015,8,56570.0,monthly
Los Angeles,2015,8,59232.0,monthly
Chicago,2015,8,63416.0,monthly
Houston,2015,8,47015.0,monthly
Phoenix,2015,8,60675.0,monthly
Philadelphia,2015,8,59029.0,monthly
San Antonio,2015,8,47346.0,monthly
San Diego,2015,8,62551.0,monthly
New York,2015,9,61797.0,monthly
Los Angeles,2015,9,58741.0,monthly
Chicago,2015,9,60969.0,monthly
Houston,2015,9,48352.0,monthly
Phoenix,2015,9,60555.0,monthly
Philadelphia,2015,9,56108.0,monthly
San Antonio,2015,9,46546.0,monthly
San Diego,2015,9,62716.0,monthly
New York,2015,10,61896.0,monthly
Los Angeles,2015,10,59361.0,monthly
Chicago,2015,10,60909.0,monthly
Houston,2015,10,46928.0,monthly
Phoenix,2015,10,62780.0,monthly
Philadelphia,2015,10,56353.0,monthly
San Antonio,2015,10,46148.0,monthly
San Diego,2015,10,59939.0,monthly
New York,2015,11,60966.0,monthly
Los Angeles,2015,11,59596.0,monthly
Chicago,2015,11,62716.0,monthly
Houston,2015,11,45420.0,monthly
Phoenix,2015,11,65540.0,monthly
Philadelphia,2015,11,54689.0,monthly
San Antonio,2015,11,47806.0,monthly
San Diego,2015,11,60809.0,monthly
New York,2015,12,57987.0,monthly
Los Angeles,2015,12,56574.0,monthly
Chicago,2015,12,61813.0,monthly
Houston,2015,12,47478.0,monthly
Phoenix,2015,12,66663.0,monthly
Philadelphia,2015,12,58290.0,monthly
San Antonio,2015,12,47321.0,monthly
San Diego,2015,12,59007.0,monthly
New York,2016,1,58369.0,monthly
Los Angeles,2016,1,59929.0,monthly
Chicago,2016,1,63888.0,monthly
Houston,2016,1,49110.0,monthly
Phoenix,2016,1,63080.0,monthly
Philadelphia,2016,1,56690.0,monthly
San Antonio,2016,1,45648.0,monthly
San Diego,2016,1,60318.0,monthly
New York,2016,2,61936.0,monthly
Los Angeles,2016,2,59155.0,monthly
Chicago,2016,2,64476.0,monthly
Houston,2016,2,46704.0,monthly
Phoenix,2016,2,65980.0,monthly
Philadelphia,2016,2,58924.0,monthly
San Antonio,2016,2,46405.0,monthly
San Diego,2016,2,62242.0,monthly
New York,2016,3,60452.0,monthly
Los Angeles,2016,3,62561.0,monthly
Chicago,2016,3,65066.0,monthly
Houston,2016,3,47373.0,monthly
Phoenix,2016,3,64586.0,monthly
Philadelphia,2016,3,60545.0,monthly
San Antonio,2016,3,46106.0,monthly
San Diego,2016,3,62799.0,monthly
New York,2016,4,58517.0,monthly
Los Angeles,2016,4,60540.0,monthly
Chicago,2016,4,61609.0,monthly
Houston,2016,4,48124.0,monthly
Phoenix,2016,4,68436.0,monthly
Philadelphia,2016,4,56145.0,monthly
San Antonio,2016,4,48449.0,monthly
San Diego,2016,4,61208.0,monthly
New York,2016,5,60787.0,monthly
Los Angeles,2016,5,63656.0,monthly
Chicago,2016,5,61844.0,monthly
Houston,2016,5,47943.0,monthly
Phoenix,2016,5,67601.0,monthly
Philadelphia,2016,5,58757.0,monthly
San Antonio,2016,5,45089.0,monthly
San Diego,2016,5,62640.0,monthly
New York,2016,6,57984.0,monthly
Los Angeles,2016,6,60106.0,monthly
Chicago,2016,6,60081.0,monthly
Houston,2016,6,47430.0,monthly
Phoenix,2016,6,67576.0,monthly
Philadelphia,2016,6,56988.0,monthly
San Antonio,2016,6,47626.0,monthly
San Diego,2016,6,64618.0,monthly
New York,2016,7,63305.0,monthly
Los Angeles,2016,7,62642.0,monthly
Chicago,2016,7,63113.0,monthly
Houston,2016,7,46989.0,monthly
Phoenix,2016,7,65160.0,monthly
Philadelphia,2016,7,57630.0,monthly
San Antonio,2016,7,48537.0,monthly
San Diego,2016,7,62561.0,monthly
New York,2016,8,59349.0,monthly
Los Angeles,2016,8,62532.0,monthly
Chicago,2016,8,59717.0,monthly
Houston,2016,8,46041.0,monthly
Phoenix,2016,8,64808.0,monthly
Philadelphia,2016,8,58398.0,monthly
San Antonio,2016,8,49078.0,monthly
San Diego,2016,8,63582.0,monthly
New York,2016,9,61804.0,monthly
Los Angeles,2016,9,58599.0,monthly
Chicago,2016,9,62408.0,monthly
Houston,2016,9,45818.0,monthly
Phoenix,2016,9,63883.0,monthly
Philadelphia,2016,9,57702.0,monthly
San Antonio,2016,9,46549.0,monthly
San Diego,2016,9,64107.0,monthly
New York,2016,10,59671.0,monthly
Los Angeles,2016,10,60770.0,monthly
Chicago,2016,10,62890.0,monthly
Houston,2016,10,50159.0,monthly
Phoenix,2016,10,62465.0,monthly
Philadelphia,2016,10,59421.0,monthly
San Antonio,2016,10,48815.0,monthly
San Diego,2016,10,65248.0,monthly
New York,2016,11,60938.0,monthly
Los Angeles,2016,11,61909.0,monthly
Chicago,2016,11,61287.0,monthly
Houston,2016,11,49624.0,monthly
Phoenix,2016,11,67749.0,monthly
Philadelphia,2016,11,58430.0,monthly
San Antonio,2016,11,45454.0,monthly
San Diego,2016,11,62850.0,monthly
New York,2016,12,61100.0,monthly
Los Angeles,2016,12,62896.0,monthly
Chicago,2016,12,63192.0,monthly
Houston,2016,12,47264.0,monthly
Phoenix,2016,12,67410.0,monthly
Philadelphia,2016,12,59043.0,monthly
San Antonio,2016,12,48934.0,monthly
San Diego,2016,12,64117.0,monthly
New York,2017,1,60521.0,monthly
Los Angeles,2017,1,61305.0,monthly
Chicago,2017,1,61326.0,monthly
Houston,2017,1,51531.0,monthly
Phoenix,2017,1,70520.0,monthly
Philadelphia,2017,1,61586.0,monthly
San Antonio,2017,1,46787.0,monthly
San Diego,2017,1,66877.0,monthly
New York,2017,2,65424.0,monthly
Los Angeles,2017,2,60646.0,monthly
Chicago,2017,2,61370.0,monthly
Houston,2017,2,50151.0,monthly
Phoenix,2017,2,70499.0,monthly
Philadelphia,2017,2,60509.0,monthly
San Antonio,2017,2,48098.0,monthly
San Diego,2017,2,66761.0,monthly
New York,2017,3,64209.0,monthly
Los Angeles,2017,3,63709.0,monthly
Chicago,2017,3,66423.0,monthly
Houston,2017,3,49193.0,monthly
Phoenix,2017,3,67536.0,monthly
Philadelphia,2017,3,60682.0,monthly
San Antonio,2017,3,50042.0,monthly
San Diego,2017,3,61626.0,monthly
New York,2017,4,65236.0,monthly
Los Angeles,2017,4,64322.0,monthly
Chicago,2017,4,63447.0,monthly
Houston,2017,4,49245.0,monthly
Phoenix,2017,4,68970.0,monthly
Philadelphia,2017,4,60549.0,monthly
San Antonio,2017,4,46896.0,monthly
San Diego,2017,4,63322.0,monthly
New York,2017,5,64957.0,monthly
Los Angeles,2017,5,61447.0,monthly
Chicago,2017,5,61947.0,monthly
Houston,2017,5,47226.0,monthly
Phoenix,2017,5,70151.0,monthly
Philadelphia,2017,5,59432.0,monthly
San Antonio,2017,5,47282.0,monthly
San Diego,2017,5,62795.0,monthly
New York,2017,6,63102.0,monthly
Los Angeles,2017,6,59872.0,monthly
Chicago,2017,6,64490.0,monthly
Houston,2017,6,47267.0,monthly
Phoenix,2017,6,69512.0,monthly
Philadelphia,2017,6,59183.0,monthly
San Antonio,2017,6,49678.0,monthly
San Diego,2017,6,61280.0,monthly
New York,2017,7,65126.0,monthly
Los Angeles,2017,7,65140.0,monthly
Chicago,2017,7,66084.0,monthly
Houston,2017,7,49784.0,monthly
Phoenix,2017,7,65467.0,monthly
Philadelphia,2017,7,62566.0,monthly
San Antonio,2017,7,49667.0,monthly
San Diego,2017,7,64772.0,monthly
New York,2017,8,59918.0,monthly
Los Angeles,2017,8,61752.0,monthly
Chicago,2017,8,62518.0,monthly
Houston,2017,8,49544.0,monthly
Phoenix,2017,8,66831.0,monthly
Philadelphia,2017,8,60808.0,monthly
San Antonio,2017,8,49283.0,monthly
San Diego,2017,8,65428.0,monthly
New York,2017,9,60590.0,monthly
Los Angeles,2017,9,62502.0,monthly
Chicago,2017,9,65138.0,monthly
Houston,2017,9,47864.0,monthly
Phoenix,2017,9,64673.0,monthly
Philadelphia,2017,9,58623.0,monthly
San Antonio,2017,9,49540.0,monthly
San Diego,2017,9,66145.0,monthly
New York,2017,10,59648.0,monthly
Los Angeles,2017,10,64498.0,monthly
Chicago,2017,10,61679.0,monthly
Houston,2017,10,51478.0,monthly
Phoenix,2017,10,70213.0,monthly
Philadelphia,2017,10,60151.0,monthly
San Antonio,2017,10,48805.0,monthly
San Diego,2017,10,61509.0,monthly
New York,2017,11,61398.0,monthly
Los Angeles,2017,11,63488.0,monthly
Chicago,2017,11,61462.0,monthly
Houston,2017,11,50666.0,monthly
Phoenix,2017,11,67877.0,monthly
Philadelphia,2017,11,59141.0,monthly
San Antonio,2017,11,47391.0,monthly
San Diego,2017,11,66326.0,monthly
New York,2017,12,61794.0,monthly
Los Angeles,2017,12,63859.0,monthly
Chicago,2017,12,64549.0,monthly
Houston,2017,12,47375.0,monthly
Phoenix,2017,12,65341.0,monthly
Philadelphia,2017,12,62771.0,monthly
San Antonio,2017,12,47848.0,monthly
San Diego,2017,12,64834.0,monthly
New York,2018,1,62697.0,monthly
Los Angeles,2018,1,62199.0,monthly
Chicago,2018,1,66339.0,monthly
Houston,2018,1,52780.0,monthly
Phoenix,2018,1,70147.0,monthly
Philadelphia,2018,1,58731.0,monthly
San Antonio,2018,1,48310.0,monthly
San Diego,2018,1,66971.0,monthly
New York,2018,2,66273.0,monthly
Los Angeles,2018,2,64328.0,monthly
Chicago,2018,2,66978.0,monthly
Houston,2018,2,52999.0,monthly
Phoenix,2018,2,69777.0,monthly
Philadelphia,2018,2,60076.0,monthly
San Antonio,2018,2,51937.0,monthly
San Diego,2018,2,68327.0,monthly
New York,2018,3,63245.0,monthly
Los Angeles,2018,3,65317.0,monthly
Chicago,2018,3,67564.0,monthly
Houston,2018,3,53109.0,monthly
Phoenix,2018,3,67985.0,monthly
Philadelphia,2018,3,60941.0,monthly
San Antonio,2018,3,50315.0,monthly
San Diego,2018,3,66451.0,monthly
New York,2018,4,62758.0,monthly
Los Angeles,2018,4,62324.0,monthly
Chicago,2018,4,69214.0,monthly
Houston,2018,4,48352.0,monthly
Phoenix,2018,4,66298.0,monthly
Philadelphia,2018,4,61698.0,monthly
San Antonio,2018,4,49404.0,monthly
San Diego,2018,4,64555.0,monthly
New York,2018,5,64438.0,monthly
Los Angeles,2018,5,61980.0,monthly
Chicago,2018,5,66178.0,monthly
Houston,2018,5,51799.0,monthly
Phoenix,2018,5,70146.0,monthly
Philadelphia,2018,5,63940.0,monthly
San Antonio,2018,5,49710.0,monthly
San Diego,2018,5,67766.0,monthly
New York,2018,6,61860.0,monthly
Los Angeles,2018,6,67151.0,monthly
Chicago,2018,6,64901.0,monthly
Houston,2018,6,50832.0,monthly
Phoenix,2018,6,69103.0,monthly
Philadelphia,2018,6,59227.0,monthly
San Antonio,2018,6,52131.0,monthly
San Diego,2018,6,64734.0,monthly
New York,2018,7,66103.0,monthly
Los Angeles,2018,7,64169.0,monthly
Chicago,2018,7,68021.0,monthly
Houston,2018,7,51641.0,monthly
Phoenix,2018,7,70841.0,monthly
Philadelphia,2018,7,63662.0,monthly
San Antonio,2018,7,48169.0,monthly
San Diego,2018,7,62575.0,monthly
New York,2018,8,61434.0,monthly
Los Angeles,2018,8,62530.0,monthly
Chicago,2018,8,64556.0,monthly
Houston,2018,8,52971.0,monthly
Phoenix,2018,8,69102.0,monthly
Philadelphia,2018,8,59028.0,monthly
San Antonio,2018,8,50329.0,monthly
San Diego,2018,8,67802.0,monthly
New York,2018,9,67288.0,monthly
Los Angeles,2018,9,67242.0,monthly
Chicago,2018,9,65667.0,monthly
Houston,2018,9,51551.0,monthly
Phoenix,2018,9,71391.0,monthly
Philadelphia,2018,9,63887.0,monthly
San Antonio,2018,9,49929.0,monthly
San Diego,2018,9,64616.0,monthly
New York,2018,10,65911.0,monthly
Los Angeles,2018,10,67044.0,monthly
Chicago,2018,10,63285.0,monthly
Houston,2018,10,52305.0,monthly
Phoenix,2018,10,69321.0,monthly
Philadelphia,2018,10,59003.0,monthly
San Antonio,2018,10,50455.0,monthly
San Diego,2018,10,67430.0,monthly
New York,2018,11,62231.0,monthly
Los Angeles,2018,11,64436.0,monthly
Chicago,2018,11,62934.0,monthly
Houston,2018,11,52456.0,monthly
Phoenix,2018,11,69383.0,monthly
Philadelphia,2018,11,58797.0,monthly
San Antonio,2018,11,47495.0,monthly
San Diego,2018,11,64732.0,monthly
New York,2018,12,60991.0,monthly
Los Angeles,2018,12,66514.0,monthly
Chicago,2018,12,69127.0,monthly
Houston,2018,12,52312.0,monthly
Phoenix,2018,12,71560.0,monthly
Philadelphia,2018,12,62990.0,monthly
San Antonio,2018,12,51756.0,monthly
San Diego,2018,12,68002.0,monthly
New York,2019,1,67915.0,monthly
Los Angeles,2019,1,63687.0,monthly
Chicago,2019,1,70072.0,monthly
Houston,2019,1,51536.0,monthly
Phoenix,2019,1,70079.0,monthly
Philadelphia,2019,1,66536.0,monthly
San Antonio,2019,1,53413.0,monthly
San Diego,2019,1,65456.0,monthly
New York,2019,2,67200.0,monthly
Los Angeles,2019,2,64280.0,monthly
Chicago,2019,2,69123.0,monthly
Houston,2019,2,50479.0,monthly
Phoenix,2019,2,68172.0,monthly
Philadelphia,2019,2,65898.0,monthly
San Antonio,2019,2,51534.0,monthly
San Diego,2019,2,70540.0,monthly
New York,2019,3,67345.0,monthly
Los Angeles,2019,3,67051.0,monthly
Chicago,2019,3,67177.0,monthly
Houston,2019,3,51383.0,monthly
Phoenix,2019,3,67427.0,monthly
Philadelphia,2019,3,63866.0,monthly
San Antonio,2019,3,52208.0,monthly
San Diego,2019,3,69228.0,monthly
New York,2019,4,67624.0,monthly
Los Angeles,2019,4,68013.0,monthly
Chicago,2019,4,65579.0,monthly
Houston,2019,4,53954.0,monthly
Phoenix,2019,4,72567.0,monthly
Philadelphia,2019,4,66030.0,monthly
San Antonio,2019,4,53364.0,monthly
San Diego,2019,4,64747.0,monthly
New York,2019,5,63033.0,monthly
Los Angeles,2019,5,68076.0,monthly
Chicago,2019,5,65465.0,monthly
Houston,2019,5,50085.0,monthly
Phoenix,2019,5,71613.0,monthly
Philadelphia,2019,5,60249.0,monthly
San Antonio,2019,5,52262.0,monthly
San Diego,2019,5,67787.0,monthly
New York,2019,6,64906.0,monthly
Los Angeles,2019,6,65106.0,monthly
Chicago,2019,6,66101.0,monthly
Houston,2019,6,51989.0,monthly
Phoenix,2019,6,72206.0,monthly
Philadelphia,2019,6,66396.0,monthly
San Antonio,2019,6,49422.0,monthly
San Diego,2019,6,70613.0,monthly
New York,2019,7,63309.0,monthly
Los Angeles,2019,7,68283.0,monthly
Chicago,2019,7,68128.0,monthly
Houston,2019,7,50534.0,monthly
Phoenix,2019,7,68731.0,monthly
Philadelphia,2019,7,63326.0,monthly
San Antonio,2019,7,51591.0,monthly
San Diego,2019,7,67150.0,monthly
New York,2019,8,68228.0,monthly
Los Angeles,2019,8,68041.0,monthly
Chicago,2019,8,69249.0,monthly
Houston,2019,8,52342.0,monthly
Phoenix,2019,8,68189.0,monthly
Philadelphia,2019,8,64797.0,monthly
San Antonio,2019,8,51747.0,monthly
San Diego,2019,8,65204.0,monthly
New York,2019,9,66649.0,monthly
Los Angeles,2019,9,68597.0,monthly
Chicago,2019,9,68880.0,monthly
Houston,2019,9,53805.0,monthly
Phoenix,2019,9,67327.0,monthly
Philadelphia,2019,9,65418.0,monthly
San Antonio,2019,9,50812.0,monthly
San Diego,2019,9,67242.0,monthly
New York,2019,10,64724.0,monthly
Los Angeles,2019,10,67609.0,monthly
Chicago,2019,10,66302.0,monthly
Houston,2019,10,53894.0,monthly
Phoenix,2019,10,69704.0,monthly
Philadelphia,2019,10,64769.0,monthly
San Antonio,2019,10,52412.0,monthly
San Diego,2019,10,67428.0,monthly
New York,2019,11,62964.0,monthly
Los Angeles,2019,11,66845.0,monthly
Chicago,2019,11,70878.0,monthly
Houston,2019,11,50552.0,monthly
Phoenix,2019,11,71398.0,monthly
Philadelphia,2019,11,63606.0,monthly
San Antonio,2019,11,53425.0,monthly
San Diego,2019,11,68972.0,monthly
New York,2019,12,64593.0,monthly
Los Angeles,2019,12,66264.0,monthly
Chicago,2019,12,69407.0,monthly
Houston,2019,12,54036.0,monthly
Phoenix,2019,12,69999.0,monthly
Philadelphia,2019,12,63236.0,monthly
San Antonio,2019,12,53380.0,monthly
San Diego,2019,12,68684.0,monthly
New York,2020,1,66331.0,monthly
Los Angeles,2020,1,66544.0,monthly
Chicago,2020,1,69895.0,monthly
Houston,2020,1,53729.0,monthly
Phoenix,2020,1,72107.0,monthly
Philadelphia,2020,1,67197.0,monthly
San Antonio,2020,1,52245.0,monthly
San Diego,2020,1,68384.0,monthly
New York,2020,2,69062.0,monthly
Los Angeles,2020,2,70372.0,monthly
Chicago,2020,2,70294.0,monthly
Houston,2020,2,52442.0,monthly
Phoenix,2020,2,75493.0,monthly
Philadelphia,2020,2,63079.0,monthly
San Antonio,2020,2,50472.0,monthly
San Diego,2020,2,67109.0,monthly
New York,2020,3,68440.0,monthly
Los Angeles,2020,3,70598.0,monthly
Chicago,2020,3,68959.0,monthly
Houston,2020,3,54348.0,monthly
Phoenix,2020,3,71460.0,monthly
Philadelphia,2020,3,68038.0,monthly
San Antonio,2020,3,55048.0,monthly
San Diego,2020,3,70058.0,monthly
New York,2020,4,70126.0,monthly
Los Angeles,2020,4,65948.0,monthly
Chicago,2020,4,67764.0,monthly
Houston,2020,4,53142.0,monthly
Phoenix,2020,4,72662.0,monthly
Philadelphia,2020,4,66367.0,monthly
San Antonio,2020,4,54282.0,monthly
San Diego,2020,4,68516.0,monthly
New York,2020,5,67324.0,monthly
Los Angeles,2020,5,66093.0,monthly
Chicago,2020,5,68516.0,monthly
Houston,2020,5,52590.0,monthly
Phoenix,2020,5,74619.0,monthly
Philadelphia,2020,5,63043.0,monthly
San Antonio,2020,5,50532.0,monthly
San Diego,2020,5,66517.0,monthly
New York,2020,6,64943.0,monthly
Los Angeles,2020,6,67308.0,monthly
Chicago,2020,6,71310.0,monthly
Houston,2020,6,54331.0,monthly
Phoenix,2020,6,71810.0,monthly
Philadelphia,2020,6,66531.0,monthly
San Antonio,2020,6,54712.0,monthly
San Diego,2020,6,71823.0,monthly
New York,2020,7,68951.0,monthly
